image,expected,predicted,raw_answer
060080.jpg,2,3,3
060089.jpg,3,3,3
060092.jpg,2,3,3
060094.jpg,2,1,1
060097.jpg,3,3,3
060104.jpg,3,3,3
060106.jpg,5,6,6
060108.jpg,3,2,2
060116.jpg,4,3,3
060117.jpg,6,6,6
060119.jpg,6,5,5
060130.jpg,2,2,2
060136.jpg,3,3,3
060144.jpg,9,9,9
060149.jpg,2,2,2
060150.jpg,3,3,3
060153.jpg,3,3,3
060159.jpg,6,6,6
060163.jpg,4,5,5
060170.jpg,5,4,4
060179.jpg,6,6,6
060181.jpg,8,6,6
060189.jpg,4,4,4
060191.jpg,2,2,2
060193.jpg,7,7,7
060195.jpg,5,5,5
060198.jpg,1,1,1
060199.jpg,7,7,7
060210.jpg,7,7,7
060213.jpg,3,3,3
060221.jpg,3,3,3
060227.jpg,2,2,2
060229.jpg,5,5,5
060235.jpg,4,2,2
060236.jpg,2,3,3
060237.jpg,6,9,9
060240.jpg,7,6,6
060244.jpg,6,8,8
060248.jpg,2,2,2
060251.jpg,7,5,5
060256.jpg,6,6,6
060280.jpg,2,2,2
060281.jpg,3,2,2
060287.jpg,6,5,5
060295.jpg,2,2,2
060300.jpg,2,2,2
060305.jpg,4,3,3
060308.jpg,2,3,3
060310.jpg,2,3,3
060314.jpg,5,5,5
060319.jpg,6,5,5
060324.jpg,5,5,5
060326.jpg,2,2,2
060331.jpg,8,8,8
060348.jpg,2,2,2
060352.jpg,1,1,1
060353.jpg,1,1,1
060359.jpg,6,6,6
060360.jpg,3,3,3
060364.jpg,4,4,4
060388.jpg,8,5,5
060395.jpg,4,7,7
060397.jpg,5,4,4
060407.jpg,4,4,4
060410.jpg,7,7,7
060412.jpg,5,5,5
060416.jpg,5,5,5
060423.jpg,3,3,3
060425.jpg,3,3,3
060432.jpg,4,4,4
060435.jpg,4,4,4
060437.jpg,5,5,5
060439.jpg,1,2,2
060446.jpg,5,4,4
060452.jpg,1,2,2
060459.jpg,2,2,2
060464.jpg,2,2,2
060472.jpg,4,4,4
060479.jpg,4,4,4
060484.jpg,6,5,5
060492.jpg,3,4,4
060494.jpg,3,4,4
060498.jpg,7,6,6
060507.jpg,5,6,6
060510.jpg,3,3,3
060514.jpg,3,4,4
070005.jpg,5,4,4
070007.jpg,2,3,3
070012.jpg,4,3,3
070015.jpg,6,7,7
070016.jpg,3,4,4
070021.jpg,1,3,3
070023.jpg,2,2,2
070026.jpg,3,3,3
070027.jpg,5,5,5
070028.jpg,4,4,4
070030.jpg,3,3,3
070036.jpg,4,4,4
070040.jpg,2,3,3
070047.jpg,1,1,1
070053.jpg,3,3,3
070056.jpg,5,4,4
070063.jpg,2,3,3
070064.jpg,3,3,3
070068.jpg,4,4,4
070077.jpg,2,3,3
070078.jpg,3,3,3
070080.jpg,7,5,5
070090.jpg,2,1,1
070093.jpg,3,3,3
070099.jpg,1,2,2
070108.jpg,4,4,4
070109.jpg,3,3,3
070116.jpg,2,3,3
070118.jpg,2,2,2
070120.jpg,7,8,8
070121.jpg,7,8,8
070122.jpg,1,1,1
070148.jpg,2,3,3
070150.jpg,1,2,2
070152.jpg,5,5,5
070154.jpg,2,1,1
070166.jpg,2,2,2
070174.jpg,4,4,4
070177.jpg,2,3,3
070187.jpg,5,5,5
070189.jpg,1,3,3
070194.jpg,3,3,3
070197.jpg,1,1,1
070210.jpg,4,3,3
070211.jpg,1,2,2
070214.jpg,3,3,3
070221.jpg,4,4,4
070224.jpg,4,4,4
070237.jpg,1,1,1
070243.jpg,1,1,1
070259.jpg,2,3,3
070265.jpg,2,3,3
070268.jpg,4,3,3
070269.jpg,1,2,2
070278.jpg,6,6,6
070286.jpg,5,5,5
070290.jpg,6,6,6
070307.jpg,3,4,4
070320.jpg,4,2,2
070325.jpg,3,3,3
070326.jpg,6,7,7
070329.jpg,2,2,2
070335.jpg,2,2,2
070338.jpg,1,1,1
070339.jpg,4,4,4
070346.jpg,2,3,3
070353.jpg,6,4,4
070354.jpg,2,2,2
070355.jpg,2,2,2
070366.jpg,6,5,5
070369.jpg,5,5,5
070374.jpg,3,3,3
070376.jpg,6,7,7
070378.jpg,4,4,4
070394.jpg,1,2,2
070395.jpg,5,4,4
070415.jpg,4,3,3
070417.jpg,2,3,3
070419.jpg,1,3,3
070424.jpg,4,4,4
070425.jpg,5,4,4
070430.jpg,3,3,3
070450.jpg,5,7,7
080001.jpg,3,3,3
080010.jpg,7,7,7
080017.jpg,3,2,2
080023.jpg,3,3,3
080038.jpg,2,2,2
080041.jpg,4,5,5
080048.jpg,3,2,2
080066.jpg,1,1,1
080071.jpg,3,4,4
080072.jpg,5,4,4
080083.jpg,2,3,3
080092.jpg,1,2,2
080099.jpg,7,7,7
080101.jpg,7,8,8
080102.jpg,3,4,4
080104.jpg,1,2,2
080113.jpg,6,6,6
080114.jpg,4,4,4
080117.jpg,5,5,5
080118.jpg,4,4,4
080119.jpg,5,5,5
080122.jpg,1,2,2
080124.jpg,2,2,2
080126.jpg,1,1,1
080131.jpg,6,6,6
080137.jpg,6,5,5
080151.jpg,2,4,4
080159.jpg,4,4,4
080169.jpg,3,3,3
080171.jpg,8,5,5
080174.jpg,4,4,4
080179.jpg,1,1,1
080181.jpg,3,3,3
080185.jpg,3,4,4
080188.jpg,3,3,3
080192.jpg,4,3,3
080198.jpg,2,2,2
080199.jpg,5,5,5
080201.jpg,3,3,3
080217.jpg,1,1,1
080218.jpg,2,2,2
080219.jpg,4,3,3
080220.jpg,5,3,3
080221.jpg,3,2,2
080226.jpg,5,4,4
080231.jpg,4,5,5
080234.jpg,2,3,3
080236.jpg,4,2,2
080240.jpg,2,1,1
080256.jpg,4,4,4
080257.jpg,3,3,3
080258.jpg,5,6,6
080259.jpg,1,1,1
080266.jpg,5,6,6
080269.jpg,1,3,3
080280.jpg,5,6,6
080287.jpg,2,2,2
080290.jpg,2,1,1
080291.jpg,7,8,8
080292.jpg,4,3,3
080293.jpg,1,2,2
080295.jpg,2,3,3
080297.jpg,5,5,5
080303.jpg,4,4,4
080306.jpg,3,3,3
080308.jpg,2,2,2
080315.jpg,3,3,3
080319.jpg,6,6,6
080325.jpg,1,1,1
080326.jpg,3,3,3
080331.jpg,1,1,1
080333.jpg,2,2,2
080334.jpg,1,1,1
080349.jpg,4,4,4
080356.jpg,3,3,3
080358.jpg,2,2,2
080366.jpg,4,4,4
080370.jpg,4,4,4
080374.jpg,4,4,4
080375.jpg,4,3,3
080382.jpg,5,6,6
080392.jpg,1,2,2
080398.jpg,3,2,2
080423.jpg,3,2,2
080426.jpg,5,6,6
080429.jpg,4,4,4
080435.jpg,5,6,6
080437.jpg,3,4,4
080438.jpg,2,2,2
080441.jpg,1,1,1
080446.jpg,3,3,3
080450.jpg,5,4,4
080453.jpg,2,2,2
080455.jpg,6,6,6
080459.jpg,3,3,3
080466.jpg,4,4,4
080470.jpg,6,7,7
080482.jpg,4,4,4
080486.jpg,6,5,5
080494.jpg,2,2,2
080498.jpg,2,2,2
080499.jpg,3,2,2
080501.jpg,3,3,3
080504.jpg,6,4,4
080506.jpg,3,2,2
080508.jpg,2,3,3
080509.jpg,3,3,3
080515.jpg,2,2,2
080517.jpg,3,3,3
080521.jpg,4,4,4
080523.jpg,5,4,4
080525.jpg,7,5,5
080526.jpg,1,2,2
080529.jpg,3,3,3
080532.jpg,4,3,3
080536.jpg,3,3,3
080541.jpg,4,3,3
080546.jpg,4,4,4
080558.jpg,2,2,2
080563.jpg,4,3,3
080572.jpg,1,1,1
080586.jpg,7,6,6
080589.jpg,3,2,2
080591.jpg,5,6,6
080597.jpg,6,5,5
080603.jpg,2,2,2
080604.jpg,4,4,4
080609.jpg,2,3,3
080616.jpg,2,2,2
080623.jpg,5,4,4
080625.jpg,1,1,1
080629.jpg,7,6,6
080632.jpg,2,2,2
080638.jpg,3,3,3
080643.jpg,6,5,5
080645.jpg,3,3,3
080650.jpg,1,1,1
080651.jpg,6,5,5
080654.jpg,2,2,2
080669.jpg,4,4,4
080678.jpg,1,1,1
080687.jpg,4,4,4
080691.jpg,3,4,4
080697.jpg,4,5,5
080698.jpg,1,1,1
080704.jpg,2,2,2
080715.jpg,2,2,2
080718.jpg,5,5,5
080724.jpg,4,4,4
080725.jpg,3,3,3
080729.jpg,4,4,4
080732.jpg,2,3,3
080733.jpg,3,3,3
080735.jpg,3,3,3
080737.jpg,5,6,6
080744.jpg,1,1,1
080746.jpg,8,9,9
080748.jpg,1,1,1
080765.jpg,4,4,4
080766.jpg,7,7,7
080775.jpg,3,3,3
080776.jpg,1,1,1
080777.jpg,1,1,1
080778.jpg,1,1,1
080782.jpg,5,6,6
080793.jpg,4,3,3
080824.jpg,3,3,3
080835.jpg,3,3,3
080840.jpg,1,1,1
080841.jpg,3,2,2
080844.jpg,4,4,4
080855.jpg,3,3,3
080867.jpg,2,3,3
080871.jpg,1,1,1
080874.jpg,1,1,1
080876.jpg,5,4,4
080878.jpg,3,3,3
080880.jpg,6,6,6
080881.jpg,4,4,4
080889.jpg,3,3,3
080892.jpg,5,7,7
080894.jpg,6,6,6
080896.jpg,2,1,1
080898.jpg,1,2,2
080899.jpg,3,3,3
080901.jpg,1,1,1
080906.jpg,2,1,1
080918.jpg,2,2,2
080926.jpg,2,2,2
080933.jpg,6,4,4
080939.jpg,3,4,4
080941.jpg,2,1,1
080945.jpg,2,2,2
080954.jpg,4,5,5
080957.jpg,2,1,1
080960.jpg,3,3,3
080972.jpg,3,3,3
080973.jpg,4,3,3
080982.jpg,4,3,3
080983.jpg,7,6,6
080988.jpg,3,3,3
080989.jpg,1,1,1
080991.jpg,1,1,1
080992.jpg,3,3,3
080996.jpg,4,4,4
080999.jpg,1,1,1
081000.jpg,7,7,7
081004.jpg,3,2,2
081012.jpg,3,2,2
081013.jpg,3,2,2
081019.jpg,3,3,3
081026.jpg,4,4,4
081027.jpg,1,1,1
081030.jpg,2,3,3
081036.jpg,3,3,3
081041.jpg,3,4,4
081058.jpg,3,4,4
081063.jpg,4,2,2
081064.jpg,1,2,2
081070.jpg,3,2,2
081075.jpg,4,3,3
081089.jpg,4,3,3
081090.jpg,10,7,7
081091.jpg,6,6,6
081107.jpg,4,4,4
081109.jpg,3,4,4
081114.jpg,2,3,3
081119.jpg,5,3,3
081134.jpg,4,4,4
081135.jpg,3,3,3
081140.jpg,2,2,2
081148.jpg,1,2,2
081151.jpg,1,1,1
081154.jpg,5,5,5
081155.jpg,3,3,3
081163.jpg,4,3,3
081164.jpg,1,1,1
081169.jpg,6,5,5
081171.jpg,1,1,1
081175.jpg,2,4,4
081177.jpg,3,2,2
081179.jpg,3,3,3
081180.jpg,2,2,2
081192.jpg,7,6,6
081197.jpg,4,4,4
081202.jpg,6,4,4
081204.jpg,4,4,4
081205.jpg,2,3,3
081207.jpg,4,5,5
081211.jpg,1,1,1
081214.jpg,2,3,3
081217.jpg,2,3,3
081218.jpg,3,3,3
081219.jpg,3,4,4
081227.jpg,2,2,2
081245.jpg,5,4,4
081248.jpg,1,1,1
081249.jpg,1,2,2
081253.jpg,6,4,4
081255.jpg,4,3,3
081262.jpg,4,4,4
081264.jpg,4,3,3
081268.jpg,2,5,5
081269.jpg,4,5,5
081282.jpg,3,3,3
081286.jpg,3,3,3
